userName,content,Classification,Confidence
Colleen Wallace,"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",Negative,0.991
Gianna Miranda,?,Neutral,0.472
Greg Hahn,"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",Negative,0.993
Lee Sutton,"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",Negative,0.908
jan,You need an account because they want to track your cookies for ads,Neutral,0.784
m0t1vz,Need to create an account to use it.,Neutral,0.909
sharon gilligan,"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates ????. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",Negative,0.998
EMON BD,Very bad,Negative,0.996
Prateek Srivastav,Pratz,Neutral,0.518
Sean Weston,i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,Negative,0.987
Brian Marzella,I have to sync whatttt gtfohhhhhh,Negative,0.551
Rizky Ramadhani,Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,Negative,0.948
Daniel Anderson,WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,Negative,0.999
S.S.P GAMER,Hum hai al Ghj,Neutral,0.629
Safique Alam,Shabab,Negative,0.706
Perfect Irony,Makes simple things extremely complicated,Negative,0.635
Randy Thedford,Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,Negative,0.443
A Google user,The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,Negative,0.945
Nunya Businezz,Just use your basic phone calendar,Neutral,0.537
Eid Ghanami,I want to cancel the subscription.,Neutral,0.506
TheGoogle User,MoneyGrabber Wants you to pay premium to choose specific dates.,Neutral,0.851
Caroline Dennis,Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,Negative,0.973
Mohan K Nair,"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",Negative,0.778
Attyab Perfumes,Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,Negative,1
Naccasa Bobi,Subscription!!!,Positive,0.639
Sarah Schlesinger,"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",Negative,0.979
Thomas Hija,It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,Negative,0.995
Deepak Mahour,I don't found usefulness,Negative,0.876
Veera R,"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",Neutral,0.485
Salman Imon,Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,Negative,1
K V,"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",Negative,0.959
Doppel,"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",Negative,0.778
Eric Cox,"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",Negative,0.999
Gilly -,You have to open an account with them. I won't be going there. Would be nice to be given the choice.,Negative,0.719
Sameer Kalia,"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",Negative,0.994
Sonu Khan,Efvig,Neutral,0.877
Peter Dominey,Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,Negative,0.967
Shekar H,Super,Positive,0.557
Lindsay Peterson,Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,Negative,0.991
M. G.,Way over priced for what it does. Not worth it!!,Negative,1
Beena Joshi,Delete application,Neutral,0.837
Alex Borbely,Laggy responses to resolved items and errors in recurring reminders,Negative,0.996
Tejaswini Manikandan,Nice app,Positive,0.979
moni moon,No new it's repeated app,Negative,0.797
Ziya Shaikh,It stop working and I try to reinstall it but same problem,Negative,0.899
Jan,"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",Negative,0.995
Lex S,"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",Negative,0.929
DHIREN BHANDARE,Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,Neutral,0.781
Randy Blair,"Requires a sign up for features I have no interest in using, but can't opt out of.",Negative,0.443
Ianthe Roughan,Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,Negative,0.965
A Google user,Autofill on Android 10 does not work,Negative,0.556
Kashyap Naik.,"Had charged twice but still not getting premium version access,",Negative,0.947
Kevin Higgins,Have have to make an account in order to use this app. There is no way around it.,Negative,0.615
Foto Solis,"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",Negative,0.971
Anthony Tartaglia,Stop Adding Groceries Items Like an Ad,Neutral,0.779
Qalab Qalab Abbas,Bakwas app,Negative,0.63
Captain Captain,"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",Negative,0.997
Erez Dasa,Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,Negative,0.517
evren cetin,"Useless, ring bells only one time, and not a good reminder",Negative,1
Joel Haynes,Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,Negative,0.995
Rahul G,There is some issue in payment.,Neutral,0.665
Karan Bhange,Too complicated. I need a plan to plan tasks.,Negative,0.811
Bharath Deva,Everything it expects you to pay,Positive,0.977
Santiago Fracica,"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",Negative,0.999
— A.,Too many features locked behind premium.,Negative,0.634
Ayush Shah,Worst app,Negative,1
Mar Zur,"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",Negative,0.914
Hugo Bounoua,"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",Negative,0.995
Md Matiur Rahman Roton,Not good,Negative,0.905
Sam van Dijk,"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",Negative,0.996
Nishank Soni,"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",Negative,0.956
Aishwarya Mishra,I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,Negative,1
Leslie Howard,"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",Negative,0.732
Thomas Legrand,Have to pay for recurrent daily task.. which is the main purpose of that app.,Negative,0.494
Eduard Knyshov,"List sharing sharing is not working. UX is straight from iOS app, terrible",Negative,0.997
Andrej Zirdum,"Worst app I have ever used, it doesn't do anything.",Negative,0.999
Jihat akion,Raben nat s7,Neutral,0.828
Marc Santos,First thing that happened upon opening is asking for payment. Good job.,Positive,0.851
Arthur Nystrom,"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",Negative,0.966
Mad Scientist,"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",Negative,0.991
Mohamed Mousa Hassan,"My backup is gone, very important data deleted",Neutral,0.679
Sergey P,"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",Negative,0.98
Jay Nishimura,"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",Negative,1
Rupali Mahato,Very slow app it took me 10 min just to start the app....,Negative,0.976
M Khan,"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",Positive,0.828
Marcelo Sison,Anydo,Positive,0.918
Virtual Bowler,"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",Neutral,0.531
Tom Larkin,"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",Negative,0.995
ziajutt sports,I could not have any expirions about this app,Neutral,0.519
Jessica Harris,Terrible App. Don't waste your money.,Negative,1
fatma ?ahin,I couldn't use it,Negative,0.65
Stuart Beaty,Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,Negative,0.967
Gints Gabalins,"Forces you to sign up and use credentials, uninstalled.",Negative,0.966
Fardin Nazari,Hf,Neutral,0.877
Danuta Meissner,Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,Negative,0.999
Tristan Williams,Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,Negative,0.481
biru Kumar,Virender.kumar,Neutral,0.692
N Ifrah,Useless,Negative,0.996
kapil kalal,Price is high,Positive,0.799
thakur swaroop singh,"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",Positive,0.496
MARK SAPINORO,Bad app,Negative,0.993
Dharmesh Timbadia,Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,Negative,0.954
William Cerbone,"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",Negative,0.986
Pozz Kem,KimHong,Neutral,0.714
mass sams,I hate this app ??? as soon as I downloaded it my phone was hanging ?????? ?,Negative,0.821
Anders Majlof,"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",Negative,0.593
John Zachar,"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",Negative,0.895
aditya mehta,This app has Malware.,Neutral,0.671
Caitlin Nankervis,"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",Negative,0.999
Damien King-Acevedo,Not Making an Account!,Neutral,0.669
Amir Ben Aroia,"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",Negative,0.959
Skip Bieber,"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",Negative,0.857
Hyco Syco,"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",Negative,0.912
Sujit Daware Patil,I dont know..why people appreciate this app..not user friendly...,Negative,0.739
Kevin Tomines,Time setting is so dumb. Fix it,Negative,0.838
Sweety Kumari,SWEETY SWEETY Kumari,Neutral,0.622
goutham sankya,Not working,Negative,0.94
Philip Martin,No integration with created Alexa Lists.,Negative,0.748
BAKARE PAUL,You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,Negative,0.95
sara sofea,can't open,Negative,0.608
Bruce Fowler,Hopeless,Negative,0.786
Rissa Maria,I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,Negative,0.996
Gary Khor,Do not have option to not connect to fb google or email,Neutral,0.864
Miss. Phoenix,"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",Negative,0.975
Shainky Pathak,Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,Negative,0.565
Pheobe Askie,Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,Positive,0.768
David Logacho,"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",Negative,0.867
Ankit Uday Basrur,"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",Negative,0.992
Kasra Hassani,"Updates made it worse. Was using it all the time, and the recent updates made it all confusing and unnecessarily graphically complex. Sorry had to uninstall.",Negative,0.995
Swapan Das,Rare,Positive,0.957
Anand Balgobin,Good app but I wish there was a monthly payment option for premium instead of annual.,Positive,0.937
Rawan at,Pushing to hard for premium upgrade. Not interested anymore,Negative,0.918
???? ????,"Ill join with my fellow reviewers and say that i was very satisfied with the app when i started using it about two years ago, but since then i feel that its functionality and simplicity have been compromised, especially with the newest update that just made the app's interface (via smartphone) completely uncomfortable because i can't see my tasks laid out chronologically in an organized and pleasing way anymore.",Negative,0.944
Elektroinstal Servisni Centar,Whapp integration is bad. Barely anything works. Focus to whapp integration and seeya again,Negative,0.938
Ilian Varela,"It was good until they updated it and took out the today, someday, upcoming categories out, which is how I organized everything",Negative,0.337
Laura Halcyon,"I found this app difficult to organize in a way that was useful for me. I couldn't separate which items showed up on my phone widget by topic, so it showed all of them which was unnecessary. I also found the reminders to plan my day annoying. It would be better with an improved calendar and prioritizing options. Last, it is extremely frustrating to try and unsubscribe from yearly renewal. It is buried deep in the info and the actual faq for this has a broken link. Super sketchy and rude.",Negative,0.958
Nadia Aprilia,"Widget not working. Everytime i checked the next or previous month it'd be lagging and later it was just blank. Love the app but i really need the widget, sorry.",Negative,0.579
Nurhadi Browne,no repeat alarm,Negative,0.74
Jacob Oswalt,"Why are random items popping up on our Grocery List? Is this your way of advertising? We have purchased unnecessary items that I had never even heard of. Sun Maid Smore Bites? Nope, no one added them on. I love using the app, but this is very deceptive manipulating the grocery lists.",Negative,0.993
Moriah Blalock,"I switched to Any.do when Wunderlist ended. I wanted a simple interface that let me share lists and tasks with my husband. Any.do did that, but in the least efficient way possible. Our initials are the same and tiles aren't customizable, so it was impossible to tell who a task was assigned to. The app always defaulted to tasks even if I had just been using a shopping list. It was a huge pain to navigate. Not what we needed at all.",Negative,0.959
jayesh zaveri,Confused,Negative,0.521
Samy The Gaming Girl,I like this apps but the thing is anything need to pay? So sorry to do list i only gave it 2 star and its so bad ?,Negative,0.975
Sabir aarif Official,Star,Negative,0.649
Denise Guthrie,"The app used to be great, now it's intrusive. I can't get it to stop popping up and inserting itself into my life. Uninstall.",Negative,0.998
Shikhar Shrivastav,"Google login not working at all. Tried 2 accounts, gets stuck at setting up",Negative,0.993
Jeff Muszar,"With the recent upgrade, the phone app arbitrarily deletes things off my to do list or moves them around without me doing it. The app on my desktop is now slower than molasses. It worked great until the upgrade!",Negative,0.957
Daniel Santana,"Tarefas (Tasks) somem sozinhas e atrasam nos horários em demais semanas pré-definidas. A ideia do aplicativo é boa mas esses problemas o torna praticamente inútil, inviável utilização.",Neutral,0.848
SwiZz CheDDaR,Its ok i guess,Negative,0.711
Arknight The Sly,"The app was great until I suddenly lost all my data. I went to launch it after closing it 30 minutes ago, and everything was gone. I had so many tasks and notes in it",Negative,0.999
Daniel Brown,"App shouldn't enforce sign in for use. Uninstalled. Waste of time. Edit: that sounds like optional functionality for an app labeled to do list! Not a complete blocker to using the app. For a simple ""I need to make a quick note to remind myself of later"" this isn't very good.",Negative,0.995
Roberts Zorge,Not what is expected,Negative,0.963
Jon Johnson,"Useful app, but it just beeped/popped up a notification advertising some new features. I consider that spam, that's why you're getting the 2 stars.",Negative,0.584
