,userName,content,Subjectivity,Polarity,Resultado
66,Zac Nolan,The app is amazing - but the vibrations! So annoying!! Pls let me turn them off.,0.9,-0.125,Negativo
67,Dipakkantiday Dipakkantiday,Dipak day Cox,0,0,Neutral
68,Vikash kumar Suman,Very bad,0.866666666666667,-0.91,Negativo
69,Ankit Mehta,Location reminders don't work in medium power saving mode.. And all I got in reply was a copy paste solution and a trouble shoot link.,0.2,-0.2,Negativo
70,Terry Harms,Fed up with interruption in each matter I note. Not worth the while HAVING there are far too many condescending workers out inte cyber world who refuse to take no for an answer.,0.533333333333333,0.15,Positivo
71,Chris Sivorot,"Really dissappointed in this app. Was using it to schedule my customers appointments. As soon as the new version came out, I lost everything. Going back to paper as at least my paper won't delete everything. A terrible app for business owners and scheduling appointments. Absolutely horrible and I'm very angry.",0.579220779220779,-0.373376623376623,Negativo
72,Ryan Chachula,Thanks to your stupid update I lost ALL of my appointment dates... Terrible garbage.,0.733333333333334,-0.533333333333333,Negativo
73,John Rafael,"I miss Cal. The updates destroyed it, turned this into a cookie-cutter to-do app. It's a shame.",0,0,Neutral
74,Ryan Gould,Was great but can't connect with other people since last update. Invite will go out and will even receive the invitation but doesn't link and have had no luck with customer support,0.397222222222222,0.225,Positivo
75,Mihai Bota,I WAS TRYING FOR DAYS TO UN SUBSCRIBE. BUT OF COURSE THAT I was charged. Absolutely no support. Horrible and disgusting tactics,0.966666666666667,-0.7,Negativo
76,Colleen Wallace,"Update ruined app Last update re-formatted the ""Plan My Day"" function so the ability to schedule tasks for that day or postpone into the future is unusable, so I have 50+ tasks and to way to arrange them into a comprehensive order. Contacted the developer who emailed me back after 4 days asking for a screenshot of the problem, so I sent it right back. 3 days later - no response from the developer, no fix, nothing. Update9/8: no fix, moved to aCalTasks +",0.121230158730159,0.0476190476190476,Positivo
77,Gianna Miranda,?,0,0,Neutral
78,Greg Hahn,"Does not do weekly reminders correctly. I opened a bug report, and was told that it was a known bug. A reminder app that gets reminders at the wrong time is a big 'no' from me.",0.5,-0.25,Negativo
79,Lee Sutton,"In app purchases significantly impact experience. £16 a year for features such as recurring tasks, you're having a laugh",0.491666666666667,0.225,Positivo
80,jan,You need an account because they want to track your cookies for ads,0,0,Neutral
81,m0t1vz,Need to create an account to use it.,0,0,Neutral
82,sharon gilligan,"Is NOTHING free anymore??. It looks like a good app but as soon as you open it, it gives the subscription rates ????. I uninstalled immediately. Don't bother. Believe it or not, some people don't enjoy being nickle and dimed!",0.6,0.4,Positivo
83,EMON BD,Very bad,0.866666666666667,-0.91,Negativo
84,Prateek Srivastav,Pratz,0,0,Neutral
85,Sean Weston,i sent an ivite to people and everyone got over 50 emails for the one invite. What a joke of a an app.,0,0,Neutral
86,Brian Marzella,I have to sync whatttt gtfohhhhhh,0,0,Neutral
87,Rizky Ramadhani,Bring back my money! Why your system stolen my money from pending subscribe? Without confirmation and notification!!!! Wheres my money???,0,0,Neutral
88,Daniel Anderson,WHY IS THIS SO BUGGY NOW? WHY ARE YOU NO LONGER REALLY BEING ATTENTIVE TO QUALITY CONTROL? CANT DELETE TASK ON ONE TRY. CAN NO LONGER DELETE FINISHED TASKS WITHOUT SEVERAL ATTEMPTS. ALL COMMANDS ARE HESITANT. ALL COMMANDS REQUIRE MULTIPLE ATTEMPTS. I HAVE EMAILED YOU 3 TIMES WITH NO RESPONSE. PLEASE ADVISE.,0.275,0.15,Positivo
89,S.S.P GAMER,Hum hai al Ghj,0,0,Neutral
90,Safique Alam,Shabab,0,0,Neutral
91,Perfect Irony,Makes simple things extremely complicated,0.678571428571429,-0.25,Negativo
92,Randy Thedford,Even after your response it doesn't change the fact that you are required to have an account to proceed. The reasoning that others do it is negligible. Only way I would rate this app better is if you had an Anonymous auto log in that can be converted to a full account on sign up or log in.,0.683333333333333,0.283333333333333,Positivo
93,A Google user,The latest update now not working fine at all. It's worsening day by day. The developers now appears to have a different intention that premium paid version is purchased by the users.,0.666666666666667,0.305555555555556,Positivo
94,Nunya Businezz,Just use your basic phone calendar,0.125,0,Neutral
95,Eid Ghanami,I want to cancel the subscription.,0,0,Neutral
96,TheGoogle User,MoneyGrabber Wants you to pay premium to choose specific dates.,0.1125,0.1,Positivo
97,Caroline Dennis,Does not do much different than Google tasks (which is easier to use and is free). As a result I wanted a refund as I only realized this after my 7 day trial. Refunds are only given within 24 hours of their drawing their fee. Not sure that is legal for an automatic subscription after app trial.,0.748148148148148,0.0583333333333333,Positivo
98,Mohan K Nair,"Bekaar... bagwas.. time waste... useless.. and asking for payment, before use anyway",0.1,-0.35,Negativo
99,Attyab Perfumes,Useless app... Set up 8 reminders during a course of 4 days and not once received any notification! Waste of money.,0.1,-0.4125,Negativo
100,Naccasa Bobi,Subscription!!!,0,0,Neutral
101,Sarah Schlesinger,"This app met my needs until this latest update. Dislike the new format to such a degree that it's a dealbreaker. Now I have to start from scratch researching apps to find a replacement. I know, I used the free version so you don't care if I go but this is such a disappointment.",0.592424242424242,0.0727272727272727,Positivo
102,Thomas Hija,It syncs EVERYTHING. terrible. you have to get the pro version in order to be able to do anything actually worth while!!!,0.575,0.0286458333333333,Positivo
103,Deepak Mahour,I don't found usefulness,0,0,Neutral
104,Veera R,"In the calendar of Any.do, 1st of August is marked as bakr-Id, but 22nd August is not marked as Ganesha chaturthi! Is there a specific reason? or was it conveniently forgotten? Developer, please do respond. Because it depends on your response whether to buy it or not?",0.441666666666667,0.0125,Positivo
105,Salman Imon,Its a good app but the app keeps crashing when i allow this app to add to my calendar. After adding it to calendar then yhis app doesnt open. Keeps crashing,0.55,0.35,Positivo
106,K V,"Saying free and simple is not telling people it is a 7 day free trial especially at Google play store and people only know it's a 7 day free trial after they download it. So why won't Google do anything about this app developers not mention their apps have a trial period, which results in people downloading apps for nothing. PS 95% of the app is free, until the trial period finishes.",0.793877551020408,0.228571428571429,Positivo
107,Doppel,"Scam premium that bypasses GooglePlay, On the mobile app you can only buy 1 year of premium while on the website a monthly payment is possible. People buy the monthly more often and the developer listed it on its personal website only to bypass google fee, thus i need to link my card on their site too",0.76,0.1,Positivo
108,Eric Cox,"This new layout is just awful. Just ridiculously awful. I cannot in any way fathom how this got a thumbs up from anybody. Bye bye Any.do, I'm off to download something that wasn't designed by a nine year old.",0.663636363636364,-0.440909090909091,Negativo
109,Gilly -,You have to open an account with them. I won't be going there. Would be nice to be given the choice.,0.75,0.3,Positivo
110,Sameer Kalia,"There is no option to delete the account. If i don't find this app useful, you guyz will keep my data? This is against the policies and norms",0,0.3,Positivo
111,Sonu Khan,Efvig,0,0,Neutral
112,Peter Dominey,Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,0.65,-0.15,Negativo
113,Shekar H,Super,0.666666666666667,0.333333333333333,Positivo
114,Lindsay Peterson,Worked great for a few years and then the past couple of months it eats anything added to the list! I can sit and watch things drop off before my very eyes!,0.35,0.134375,Positivo
115,M. G.,Way over priced for what it does. Not worth it!!,0.1,-0.234375,Negativo
116,Beena Joshi,Delete application,0,0,Neutral
117,Alex Borbely,Laggy responses to resolved items and errors in recurring reminders,0,0,Neutral
118,Tejaswini Manikandan,Nice app,1,0.6,Positivo
119,moni moon,No new it's repeated app,0.454545454545455,-0.0681818181818182,Negativo
120,Ziya Shaikh,It stop working and I try to reinstall it but same problem,0.125,0,Neutral
121,Jan,"Automatically shows the reminder Snackbar when I open other apps without me setting it up, what kind of violation is this??? Stop bugging your users unsolicitedly. Uninstalled",0.591666666666667,0.158333333333333,Positivo
122,Lex S,"I love this app, but I do have one major gripe - I want an option to buy premium once (even at a higher price) and not as a monthly or yearly subscription. Edit - very unhappy with developer response to pricing. I want to buy premium for this great product they made, but it's NOT a service. This isn't Netflix. You're going to turn potential buyers away with this pricing model",0.725,0.13875,Positivo
123,DHIREN BHANDARE,Atleast make a few features available .. if the customer donot like the app at initial stage than how would he/she ever think about going premium,0.166666666666667,0.0666666666666667,Positivo
124,Randy Blair,"Requires a sign up for features I have no interest in using, but can't opt out of.",0,0,Neutral
125,Ianthe Roughan,Did not sign up. App not even on my phone. This payment deduction will be reported and I request you refund my money immediately.,0,0,Neutral
126,A Google user,Autofill on Android 10 does not work,0,0,Neutral
127,Kashyap Naik.,"Had charged twice but still not getting premium version access,",0,0,Neutral
128,Kevin Higgins,Have have to make an account in order to use this app. There is no way around it.,0,0,Neutral
129,Foto Solis,"Creating an account is supposed to ALLOW you, not FORCE you. Uninstalled without trying it",0,0,Neutral
130,Anthony Tartaglia,Stop Adding Groceries Items Like an Ad,0,0,Neutral
131,Qalab Qalab Abbas,Bakwas app,0,0,Neutral
132,Captain Captain,"I don't get task notifications anymore!!! This app has become useless. I have uninstalled and reinstalled, turned on / allowed notifications in the settings yet nothing.",0.2,-0.5,Negativo
133,Erez Dasa,Good improvements but still don't have nag or presisitent reminders. I missing a lot reminders accidentally,0.325,0.25,Positivo
134,evren cetin,"Useless, ring bells only one time, and not a good reminder",0.6,-0.283333333333333,Negativo
135,Joel Haynes,Having to pay to set a recurring task is ridiculous and essentially makes the app useless to anyone who doesn't want to pay so this essentially is not a free app.,0.575,-0.258333333333333,Negativo
136,Rahul G,There is some issue in payment.,0,0,Neutral
137,Karan Bhange,Too complicated. I need a plan to plan tasks.,1,-0.5,Negativo
138,Bharath Deva,Everything it expects you to pay,0,0,Neutral
139,Santiago Fracica,"This app is useless unless you make the monthly payment, in that case does exist other app free and only with the essential",0.535,-0.045,Negativo
140,— A.,Too many features locked behind premium.,0.6,0.05,Positivo
141,Ayush Shah,Worst app,1,-1,Negativo
142,Mar Zur,"I have the same recurring tasks to do every day. I need a to-do-list reminder to buzz me when it's time. The problem with this app, is that those reminder times somehow start drifting every day, giving me different times the next day! That is an annoying fail! Screw it, I'm going elsewhere. if I find a better app, I'll let you guys know. UPDATE : Suggestion did not work, and I found an app, that does not drift. I have moved on.",0.404166666666667,-0.154166666666667,Negativo
143,Hugo Bounoua,"OMG the UI is awful, seriously you have popup for premium every 2 seconds, there's no intuitive way see a normal calendar, you have to create an account even if you don't want to, the app is beautiful but show screen where it's impossible to understand what you have to do. It's a calendar, show a f... calendar.",0.863333333333333,-0.2,Negativo
144,Md Matiur Rahman Roton,Not good,0.6,-0.35,Negativo
145,Sam van Dijk,"Trash. Yes, it has some nice nifty features but it lacks in complete necessities to actually plan your day. You can make a task, perfectly include subtasks and then add a nice color to the task. But no yellow, because that's already the fixed color of the 'priority label'. Reminders are great, except you can only have one. If I want to have a reminder on Wednesday 10AM and a reminder on Friday 6PM, I'd need a different app. Because this app only allows you to set 1 reminder. Frustrating. 0/10",0.6625,0.233333333333333,Positivo
146,Nishank Soni,"Is it necessary to sign up account? While making a new account it's shows error ""oops try again later""",0.484848484848485,0.0454545454545455,Positivo
147,Aishwarya Mishra,I've been using the app for a while and since last week it has been acting weird. I don't receive reminders anymore and it's completely a waste of time to set reminders! Not very reliable right now,0.317063492063492,-0.0940476190476191,Negativo
148,Leslie Howard,"While it's nice program, I can justify paying for it in perpetuity. That's just insane.",1,-0.2,Negativo
149,Thomas Legrand,Have to pay for recurrent daily task.. which is the main purpose of that app.,0.166666666666667,0.0833333333333333,Positivo
150,Eduard Knyshov,"List sharing sharing is not working. UX is straight from iOS app, terrible",0.7,-0.4,Negativo
151,Andrej Zirdum,"Worst app I have ever used, it doesn't do anything.",1,-1,Negativo
152,Jihat akion,Raben nat s7,0,0,Neutral
153,Marc Santos,First thing that happened upon opening is asking for payment. Good job.,0.466666666666667,0.475,Positivo
154,Arthur Nystrom,"I do not have much to say in regards to the app itself. It seems to function fine, but it was not the calendar app that I needed. The reason I am giving it 1 star is because I canceled my subscription and account within the seven day free trial and still got charged the yearly rate. The problem has been reported to the company. I will keep this review updated with any action from Any.Do. UPDATE: The gist of the problem is this. Any.do makes it very difficult to find out how to cancel the sub.",0.52,0.0933333333333333,Positivo
155,Mad Scientist,"Unable to register with an email. Clicking""continue with email"" will just take you to a login page. Complete waste of time. I searched them first three pages of Google for a solution and found nothing. Found no solution on their help section. I don't want to register with Facebook or Google. If you include a feature, make sure it actually works.",0.37037037037037,0.025,Positivo
156,Mohamed Mousa Hassan,"My backup is gone, very important data deleted",1,0.52,Positivo
157,Sergey P,"Any.Forget... Had an instance of daily repeating event, that I have marked as complete today and somehow it did skip the next day and only proceeded to the day after. Kind of ""daily event with some days skipped"". So useless to me as can't be trusted for notifying about daily routine tasks. P.S. don't tell me I don't know how to setup a recurring event!!",0.344444444444444,0.0333333333333333,Positivo
158,Jay Nishimura,"It works okay, But I did not consent to subscribing at $28/year subscription. I thought I purchased it until I saw that it was renewed for an additional $28. It's definitely not worth that price. Very angry and ripped off. I got charged twice for something that I thought I bought outright. I will never buy anything from them. Ever",0.533333333333333,-0.1,Negativo
159,Rupali Mahato,Very slow app it took me 10 min just to start the app....,0.52,-0.39,Negativo
160,M Khan,"Updates made that are not fully tested. They need to add option to revert back to the olddd verison. that was simple to use, but most importantly it worked.",0.464285714285714,0.225,Positivo
161,Marcelo Sison,Anydo,0,0,Neutral
162,Virtual Bowler,"App loding ke baad peese maang raha hai, pahle bataaye , data kyo kharaab karwaya",0,0,Neutral
163,Tom Larkin,"Ruined the app by trying to get too fancy. My wife has also become frustrated with it. She has had it since it started and now struggles with it. You should be able to add a task then go straight to set time/day. But instead, you have all the other short cuts there that really aren't.",0.35,0.0125,Positivo
164,ziajutt sports,I could not have any expirions about this app,0,0,Neutral
165,Jessica Harris,Terrible App. Don't waste your money.,0.5,-0.6,Negativo
166,fatma ?ahin,I couldn't use it,0,0,Neutral
167,Stuart Beaty,Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,0.733333333333334,0.154166666666667,Positivo
168,Gints Gabalins,"Forces you to sign up and use credentials, uninstalled.",0,0,Neutral
169,Fardin Nazari,Hf,0,0,Neutral
170,Danuta Meissner,Most useless app ever used! Very difficult to save anything or find anything! Put some tasks didn't get any reminders so didn't do it! Erasing this nonsense Can't even save this review,0.566666666666667,-0.375,Negativo
171,Tristan Williams,Its a great app but I dont receive any events notification although I have allowed the notification to come through from this app. I really don't understand why because I have set everything correctly.,0.475,0.5,Positivo
172,biru Kumar,Virender.kumar,0,0,Neutral
173,N Ifrah,Useless,0.2,-0.5,Negativo
174,kapil kalal,Price is high,0.54,0.16,Positivo
175,thakur swaroop singh,"Under subtitle *security* ""However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers"" Sorry no thanks.i just downloaded but after reading privacy policy i prefer going thru •Google official •one & app like calendar required lot of access ,&i personally don't wanna bleach my data like this..btw the tq for placing the info it to let us know :)",0.766666666666667,0,Neutral
176,MARK SAPINORO,Bad app,0.666666666666667,-0.7,Negativo
177,Dharmesh Timbadia,Tried doing all the settings as per ur guidence.. but app is not supporting popups in lock screen.. everytime I have to unlock my screen to check the event..,0.25,-0.125,Negativo
178,William Cerbone,"This is an overengineered list keeping app that I hate. I kept it for years in spite of that because I was in the ecosystem, but today it locked me out of my grocery list so good riddance. No i don't need it to take thirty seconds to boot up my grocery list so that your algorithm can tell me how to most productively plan my day by sorting my grocery list in order of the order I entered each item. I do not need an any.do minute.",0.666666666666667,0.133333333333333,Positivo
179,Pozz Kem,KimHong,0,0,Neutral
180,mass sams,I hate this app ??? as soon as I downloaded it my phone was hanging ?????? ?,0.9,-0.8,Negativo
181,Anders Majlof,"Monthly fee for Dark mode, really? I could accept a one time payment for such a feature but not monthly.",0.366666666666667,0.0166666666666667,Positivo
182,John Zachar,"No Grocery widget, Ridiculous... The task widget is confusing, I just want to be able to add stuff simply on the fly.",0.656428571428571,0.133333333333333,Positivo
183,aditya mehta,This app has Malware.,0,0,Neutral
184,Caitlin Nankervis,"Not happy, app just asked me to 'sign in' and now has deleted all my previous reminders. I had reminders set up for throughout the rest of this year and now I don't know what they were. You've put me off using your app now, what's the point if it's not reliable!!!",0.583333333333333,-0.362760416666667,Negativo
185,Damien King-Acevedo,Not Making an Account!,0,0,Neutral
186,Amir Ben Aroia,"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",0.329761904761905,0.157142857142857,Positivo
187,Skip Bieber,"EVERY service I attempted to connect (Gmail, Gtasks, google calendar,) timed out during setup (oops error). Been 2 days and still no reply from support. Device is Samsung S9 with Android 10.",0,0,Neutral
188,Hyco Syco,"This app used to be great when paired with Alexa. Every once in awhile the sync would break but disabling the app and relinking the account would fix the issue. This has not been the case for the past several months. Any.do it is no longer syncing with Alexa and based on the reviews of the Alexa app it is affecting a lot of people, has been ongoing for weeks, and there doesn't appear to be a fix coming. Going to give anylist a try to see if it works with Alexa.",0.333333333333333,0.183333333333333,Positivo
189,Sujit Daware Patil,I dont know..why people appreciate this app..not user friendly...,0.5,0.375,Positivo
190,Kevin Tomines,Time setting is so dumb. Fix it,0.5,-0.375,Negativo
191,Sweety Kumari,SWEETY SWEETY Kumari,0,0,Neutral
192,goutham sankya,Not working,0,0,Neutral
193,Philip Martin,No integration with created Alexa Lists.,0,0,Neutral
194,BAKARE PAUL,You have to pay for all the decent features... There's nothing you want to do that your alarm doesn't already do,0.666666666666667,0.166666666666667,Positivo
195,sara sofea,can't open,0.5,0,Neutral
196,Bruce Fowler,Hopeless,0,0,Neutral
197,Rissa Maria,I dont understand how it works. Not very clear on how to use it. And it comstantly showed notifications for anything i made a note of,0.294871794871795,-0.0384615384615385,Negativo
198,Gary Khor,Do not have option to not connect to fb google or email,0,0,Neutral
199,Miss. Phoenix,"It's testing the edge of my patience. Even though I have better internet connection it keeps saying ""couldn't find the Internet connection. Try again later"". It's my first time. I can't sign in so I can't go in to the app and plan anything. Already I tried reinstall twice.",0.277777777777778,0.25,Positivo
200,Shainky Pathak,Please Add UPI feature because I tried many debit cards to get the Premium Versionof this app but any of them was accepted.,0.5,0.5,Positivo
201,Pheobe Askie,Lost all my lists when I was forced to give email address. Was good prior to having to start all over.,0.266666666666667,0.133333333333333,Positivo
202,David Logacho,"Many errors, the app is good but sometimes with the recurrent task do not work when I use desktop app it do not sync well and I lose many task and this is unpleasant. Pay for this app with this errors is a bad idea. I do no feel secure with app I lose taks and time. I hope the app get better. And the plan my day would be good if add the tasks in someday",0.614583333333333,0.24375,Positivo
203,Ankit Uday Basrur,"Since last 2 updates I am facing this problem that when I open the app, one or two tasks get shuffled to the top. Then I have to put it again in the planned sequence. This happens almost everytime I open the app.",0.391666666666667,0.125,Positivo
